name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
AC003005.2	664	5	1	2	4	5	5
AC003006.1	833	0	0	0	0	0	0
AC003009.1	686	0	2	0	1	2	0
AC003029.1	603	1	1	3	1	5	3
AC003035.1	544	1	1	3	0	6	1
AC003035.2	696	4	2	5	2	7	0
AC003043.1	337	0	0	0	0	0	0
AC003045.1	713	0	0	7	3	12	0
AC003070.1	457	1	3	2	2	1	6
AC003070.2	386	0	1	0	0	1	0
AC003071.1	789	0	0	4	0	0	0
AC003071.2	315	2	0	9	1	4	0
AC003072.1	612	3	0	1	6	1	2
AC003075.1	1607	1	3	7	4	9	1
AC003080.1	767	7	4	5	9	11	5
AC003084.1	435	0	0	0	1	1	0
AC003087.1	499	0	0	0	0	1	0
AC003092.1	1064	0	3	8	1	14	0
AC003092.2	446	1	1	0	0	0	0
AC003098.1	494	1	0	0	0	2	0
AC003101.1	459	0	1	3	7	1	1
AC003101.2	442	1	0	2	1	0	0
AC003101.3	768	0	0	0	0	0	0
AC003102.1	2012	30	21	13	33	13	33
AC003102.2	1469	1	1	1	1	5	0
AC003659.1	465	1	1	0	3	1	0
AC003666.1	611	0	2	4	2	12	0
AC003669.1	611	0	0	2	0	2	0
AC003681.1	49287	557	563	254	524	315	442
AC003682.1	462	8	4	2	2	0	5
AC003684.1	1715	524	158	194	11	219	0
AC003685.1	466	1	7	13	1	18	0
AC003685.2	395	0	1	11	0	12	0
AC003686.1	1034	0	1	9	1	6	0
AC003687.1	427	0	0	0	0	0	0
AC003688.1	489	0	0	0	0	0	0
AC003688.2	415	0	3	0	1	0	1
AC003956.1	356	4	2	4	8	1	3
AC003957.1	2673	0	0	0	0	0	0
AC003958.1	421	0	0	0	0	1	0
AC003958.2	4067	1	2	8	2	10	0
AC003965.1	667	0	0	2	0	4	1
AC003965.2	265	0	0	0	0	0	0
AC003973.1	546	0	0	0	0	3	0
AC003973.2	1394	1	2	3	0	5	0
AC003973.3	2822	305	230	62	189	50	236
AC003975.1	837	2	4	5	0	4	0
AC003982.1	498	0	0	2	1	0	0
AC003982.2	365	0	0	4	1	1	0
AC003984.1	4276	2	4	17	4	6	0
AC003985.1	362	2	0	2	0	2	0
AC003985.2	1669	0	3	10	5	6	0
AC003986.1	1526	0	2	7	1	12	1
AC003986.2	1711	2	2	5	1	2	0
AC003986.3	692	1	1	6	2	5	0
AC003988.1	578	1	6	7	1	4	0
AC003989.1	565	0	2	4	3	3	3
AC003989.2	169	2	3	1	3	0	6
AC003991.1	4838	8	4	28	19	15	7
AC003991.2	576	1	2	4	3	2	3
AC003992.1	557	0	3	0	1	2	0
AC004000.1	433	0	1	0	1	0	0
AC004004.1	250	1	2	0	2	2	2
AC004006.1	377	1	3	6	3	11	0
AC004009.1	567	1	0	5	1	2	0
AC004009.2	728	1	0	6	1	12	0
AC004009.3	645	0	1	9	1	2	0
AC004012.1	534	0	2	2	4	5	0
AC004014.1	538	0	0	0	1	3	0
AC004014.2	5122	1	4	21	3	21	2
AC004022.1	1066	1	1	4	0	5	0
AC004022.2	193	0	0	1	0	0	0
AC004023.1	1744	1	2	11	3	20	0
AC004024.1	247	0	0	1	3	0	1
AC004034.1	510	1	1	0	0	1	0
AC004039.1	1789	6	4	4	9	13	9
AC004052.1	995	0	0	1	1	2	1
AC004053.1	575	0	0	10	3	5	2
AC004054.1	270	8	8	4	10	2	21
AC004057.1	498	3	2	3	7	2	8
AC004062.1	645	0	2	4	0	0	0
AC004063.1	547	0	0	6	4	3	0
AC004066.1	802	0	2	6	1	5	0
AC004066.2	572	0	0	4	0	1	0
AC004067.1	700	3	3	7	8	14	3
AC004069.1	549	4	2	5	0	2	0
AC004069.2	1114	0	1	12	5	9	0
AC004074.1	1063	3	3	14	2	7	1
AC004076.1	1028	2	1	0	0	0	0
AC004076.2	3323	36	49	30	81	30	102
AC004080.1	757	0	2	1	0	2	0
AC004080.2	556	0	0	0	1	1	0
AC004080.3	765	0	0	0	0	0	0
AC004080.4	633	4	3	5	1	12	0
AC004080.5	368	0	0	0	0	0	0
AC004080.6	919	0	0	0	0	0	0
AC004112.1	707	6	5	10	8	9	4
AC004129.1	796	0	0	5	0	4	0
AC004129.2	287	0	0	0	0	0	0
AC004130.1	896	1	2	7	0	5	0
AC004134.1	225	2	0	0	0	0	0
AC004147.1	299	1	0	1	0	1	0
AC004147.2	3753	2	4	31	8	23	0
AC004147.3	375	0	0	1	0	1	0
AC004147.4	1844	0	0	3	0	1	0
AC004147.5	536	0	0	4	2	3	0
AC004148.1	398	0	0	2	0	2	1
AC004148.2	1938	16	16	8	26	17	20
AC004149.1	549	0	1	0	0	2	0
AC004156.1	3319	5	1	10	5	8	0
AC004158.1	5253	11	10	43	13	26	5
AC004160.1	5660	5	6	41	12	49	1
AC004160.2	563	3	4	33	6	27	0
AC004217.1	794	6	3	5	4	4	1
AC004217.2	751	3	1	1	0	4	1
AC004217.3	878	7	4	9	9	6	4
AC004221.1	844	0	0	1	0	1	1
AC004223.1	271	0	0	1	0	4	0
AC004223.2	544	2	1	1	0	0	0
AC004223.3	2002	0	0	0	0	0	0
AC004223.4	332	2	2	0	0	2	0
AC004224.1	568	1	0	1	0	1	0
AC004224.2	529	0	0	0	0	0	0
AC004231.1	815	1	0	3	1	5	0
AC004231.3	258	0	0	1	0	0	0
AC004232.1	208	0	0	0	0	0	0
AC004232.2	821	0	0	0	0	0	0
AC004232.3	525	2	2	8	3	10	2
AC004233.1	608	0	0	0	3	1	0
AC004233.2	2062	0	1	4	0	2	0
AC004233.3	1269	0	3	2	1	3	4
AC004233.4	417	0	2	3	1	3	0
AC004241.1	4411	6	5	4	4	4	4
AC004241.2	444	1	0	0	0	2	0
AC004241.3	517	2	1	1	1	0	0
AC004241.4	1120	0	2	3	0	4	1
AC004241.5	2448	12	6	10	2	16	2
AC004253.1	488	2	1	5	0	2	4
AC004253.2	397	0	0	4	1	6	0
AC004257.1	277	0	1	0	0	4	1
AC004263.1	332	2	1	0	1	0	0
AC004263.2	678	2	0	1	1	1	0
AC004264.1	794	0	0	1	0	0	0
AC004264.2	1737	1	3	4	2	3	1
AC004381.1	351	0	0	0	3	2	0
AC004381.2	1329	13	14	10	10	6	3
AC004383.1	289	0	0	0	0	2	1
AC004386.1	761	2	4	19	4	20	0
AC004386.2	148	0	0	0	0	2	0
AC004408.1	573	0	0	0	0	0	0
AC004408.2	2777	0	0	0	2	1	0
AC004415.1	449	0	5	3	4	8	0
AC004448.1	883	0	0	0	0	0	0
AC004448.2	586	0	0	1	1	4	0
AC004448.3	543	1	0	3	0	3	0
AC004448.4	4193	0	1	11	2	18	2
AC004448.5	567	0	0	0	0	1	0
AC004449.1	433	1	1	2	0	1	0
AC004453.1	408	15	8	8	5	0	5
AC004453.2	2153	13	7	8	4	5	5
AC004461.1	403	1	2	1	4	4	2
AC004461.2	803	7	6	0	5	2	15
AC004466.1	1080	1	1	0	0	0	0
AC004466.2	516	1	0	0	0	0	0
AC004466.3	546	42	32	7	33	4	31
AC004467.1	330	2	0	4	1	6	1
AC004470.1	382	1	1	2	0	4	1
AC004471.1	582	1	1	4	5	2	0
AC004471.2	1514	0	0	0	2	3	0
AC004477.1	2933	4	5	23	10	13	0
AC004477.2	192	0	0	0	0	0	0
AC004477.3	590	11	8	2	42	5	39
AC004485.1	527	0	1	2	0	3	0
AC004486.1	233	0	0	2	0	2	0
AC004490.1	2738	2	1	2	1	0	0
AC004491.1	1882	5	2	6	2	6	4
AC004492.1	742	14	7	5	12	4	11
AC004494.1	2955	20	25	12	33	9	31
