name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
MGEA5	7247	1013	762	298	967	329	968
MGLL	10102	119	79	50	125	58	80
MGME1	2336	38	27	12	59	19	48
MGMT	3557	26	33	19	40	24	25
MGP	2639	306	132	21	64	27	31
MGRN1	10219	232	176	38	293	43	181
MGST1	7440	10	14	49	33	36	9
MGST2	3182	81	62	43	61	35	108
MGST3	8401	478	345	192	558	161	442
MHENCR	801	4	4	4	9	0	3
MIA	1304	0	0	0	1	3	0
MIA3	10171	269	228	100	239	92	186
MIA-RAB4B	1229	0	0	0	0	0	0
MIAT	11505	16	14	36	12	40	6
MIAT_exon1	135	0	0	0	0	0	0
MIAT_exon5_1	149	0	0	0	0	0	0
MIAT_exon5_2	85	0	0	0	0	0	0
MIAT_exon5_3	377	0	0	0	0	0	0
MIATNB	2847	78	41	19	54	18	50
MIB1	10033	73	32	34	52	33	41
MIB2	8767	55	59	17	68	25	49
MICA	2386	51	38	11	61	17	55
MICAL1	7056	74	58	29	51	49	28
MICAL2	15809	580	465	194	295	185	260
MICAL3	22354	1305	1241	280	1379	293	1149
MICALCL	3448	7	6	20	0	22	3
MICALL1	5968	32	24	7	58	18	26
MICALL2	8843	96	71	4	14	7	11
MICB	2798	4	3	10	5	6	0
MICC	1055	0	2	4	0	8	1
MICD	813	7	7	3	2	1	1
MICE	1157	3	1	5	6	7	1
MICF	129	1	0	0	0	0	0
MICG	132	0	0	0	0	1	0
Mico1	204	1	0	1	0	0	0
MICU1	3852	239	179	83	268	74	223
MICU2	3645	35	25	12	25	20	37
MICU3	4606	58	33	15	43	24	54
MID1	9295	92	57	81	181	73	89
MID1IP1	3790	92	78	54	118	38	76
MID1IP1-AS1	376	3	2	0	0	1	1
MID2	3097	10	7	21	14	14	10
MIDN	4492	292	253	45	255	37	140
MIEF1	7555	118	95	67	176	55	163
MIEF2	3969	44	47	18	66	19	65
MIEN1	2292	24	13	4	20	4	10
MIER1	8273	145	103	62	137	71	114
MIER2	7939	11	18	10	27	12	10
MIER3	5763	67	83	67	120	56	106
MIF	1109	0	0	1	1	0	1
MIF4GD	2283	12	0	7	12	4	9
MIF-AS1	1476	4	4	3	5	2	5
MIGA1	9594	74	61	39	41	33	34
MIGA2	6302	67	51	18	64	19	45
MIIP	2821	59	33	10	33	9	34
MILR1	1816	11	8	11	8	19	4
MIMT1	2002	1	6	10	0	4	0
MINCR	1405	22	25	12	30	7	22
MINDY1	3792	153	142	33	334	44	264
MINDY2	9454	163	119	87	175	79	175
MINDY3	4094	34	24	31	45	34	31
MINDY4	7336	16	13	17	16	29	9
MINDY4B	1686	0	0	0	0	2	0
MINK1	7817	66	52	13	153	29	81
MINOS1	5227	42	30	27	57	26	24
MINOS1-NBL1	2493	1	0	1	0	0	0
MINOS1P3	203	0	1	1	7	2	8
MINOS1P4	318	0	2	3	2	6	2
MINPP1	3016	7	9	10	13	16	13
MIOS	6714	106	78	48	79	45	81
MIOX	1796	1	0	5	2	4	2
MIOXP1	835	1	0	2	1	2	5
MIP	3348	3	13	33	7	36	0
MIPEP	3407	26	13	26	44	27	36
MIPEPP1	2027	8	7	27	8	9	6
MIPEPP2	1819	1	3	16	4	16	4
MIPEPP3	617	4	3	6	7	11	6
MIPOL1	20250	116	83	104	134	90	137
MIR100	80	0	0	1	0	0	0
MIR100HG	11009	370	336	175	246	202	257
MIR101-1	75	0	0	1	0	1	0
MIR101-2	79	0	0	0	0	0	0
MIR103A1	78	0	0	0	0	0	0
MIR103A2	78	0	0	0	0	1	0
MIR103B1	62	0	0	0	0	0	0
MIR103B2	62	0	0	0	0	0	0
MIR105-1	81	0	0	1	0	0	0
MIR105-2	81	0	0	1	0	0	0
MIR106A	81	0	0	0	0	0	0
MIR106B	82	0	0	0	0	0	0
MIR107	81	0	0	0	0	0	0
MIR10A	110	0	0	0	0	0	0
MIR10B	110	0	1	0	0	0	0
MIR1-1	71	0	0	0	5	0	0
MIR1178	91	0	0	0	0	0	0
MIR1179	91	0	1	0	0	0	0
MIR1180	69	0	0	0	0	0	0
MIR1181	81	0	0	0	0	0	0
MIR1182	97	0	0	0	0	0	0
MIR1183	89	0	0	2	0	0	0
MIR1184-1	99	0	0	0	0	0	0
MIR1184-2	99	0	0	0	0	0	0
MIR1184-3	99	0	0	0	0	0	0
MIR1185-1	86	0	0	0	0	0	0
MIR1185-2	86	0	0	0	0	0	0
MIR1193	78	0	0	0	1	0	0
MIR1197	88	0	0	0	0	0	0
MIR1199	119	0	0	0	0	0	0
MIR1-1HG	1220	541	603	24	382	24	263
MIR1200	76	1	0	0	0	0	0
MIR1202	83	0	0	2	0	1	0
MIR1203	85	0	1	2	0	2	0
MIR1204	67	0	0	0	0	0	0
MIR1205	63	0	0	0	0	0	0
MIR1206	59	0	0	0	2	0	1
MIR1207	87	0	0	0	0	0	0
MIR1208	73	0	1	1	0	0	0
MIR1224	85	0	0	0	0	1	0
MIR1225	90	0	0	1	0	0	1
MIR1226	75	0	0	0	0	0	0
MIR1227	88	0	0	0	0	1	1
MIR122	85	0	0	0	0	0	0
MIR1228	73	0	1	0	0	0	0
MIR1229	69	0	0	0	0	0	0
MIR1231	92	1	2	0	3	2	0
MIR1233-1	82	0	0	0	0	0	0
MIR1233-2	82	0	0	0	0	0	0
MIR1234	80	0	0	0	0	0	0
MIR1236	102	0	0	0	0	0	0
MIR1237	102	0	0	0	0	0	0
MIR1238	83	0	0	0	0	0	0
MIR124-1	85	0	0	0	0	0	0
MIR124-2	109	0	0	2	0	1	0
MIR124-2HG	3486	2	3	14	0	5	0
MIR124-3	87	0	0	0	0	0	0
MIR1243	93	2	1	1	1	1	0
MIR1244-1	85	0	0	0	0	0	0
MIR1244-2	85	0	0	0	0	0	0
MIR1244-3	85	0	1	0	0	0	0
MIR1244-4	85	2	0	0	0	0	0
MIR1245A	70	0	0	0	0	0	0
MIR1245B	69	0	0	0	0	0	0
MIR1246	73	0	0	1	0	1	0
MIR1247	136	0	0	0	0	0	0
MIR1248	106	0	0	0	0	0	0
MIR1249	66	0	1	1	2	2	0
MIR1250	113	0	0	0	0	0	0
MIR1251	70	0	0	0	0	0	0
MIR1252	65	0	0	0	0	0	0
MIR1253	105	0	0	0	0	0	0
MIR1254-1	97	12	9	3	22	1	10
MIR1254-2	63	0	1	4	0	3	0
MIR1255A	113	0	0	0	0	0	0
MIR1255B1	63	0	0	5	0	3	0
MIR1255B2	67	0	1	0	0	0	0
MIR1256	119	0	0	0	0	0	0
MIR1257	117	0	0	0	0	0	0
MIR1258	73	0	0	0	0	0	0
MIR125A	86	0	0	0	0	0	0
MIR125B1	88	0	0	0	1	0	0
MIR125B2	89	2	2	0	0	1	0
MIR1260A	73	0	0	0	0	0	0
MIR1260B	89	0	0	0	0	0	0
MIR1261	82	0	0	3	0	0	0
MIR1262	93	1	1	0	0	0	1
MIR1263	86	0	0	0	1	0	0
MIR1264	69	0	0	0	0	0	0
MIR1265	86	0	0	0	4	1	0
MIR1266	84	0	0	0	1	0	0
MIR1267	78	0	0	0	0	0	0
MIR126	85	0	0	0	0	0	0
MIR1268A	52	1	0	0	1	1	0
MIR1268B	50	0	0	1	0	0	0
MIR1269A	105	0	0	0	0	0	0
MIR1269B	75	0	1	4	0	0	1
MIR1270	83	0	0	1	0	0	0
MIR1271	86	0	1	0	1	0	0
MIR1272	129	4	6	2	2	0	3
MIR1273A	103	1	0	2	0	1	0
MIR1273C	77	0	0	1	2	1	1
MIR1273D	86	0	2	0	2	1	2
MIR1273E	102	0	0	0	0	1	0
MIR1273F	99	2	1	4	1	2	2
MIR1273G	100	7	9	3	17	5	7
MIR1273H	116	0	0	1	0	1	0
MIR1275	80	0	0	0	0	0	0
MIR1276	83	0	0	0	1	0	0
MIR1277	78	0	0	0	0	0	0
MIR1278	81	0	0	0	0	0	0
MIR1279	62	0	0	0	0	0	0
MIR127	97	0	0	0	0	0	0
MIR1281	54	0	0	0	0	0	0
MIR128-1	82	0	0	0	1	0	0
MIR1282	101	0	0	0	0	0	0
MIR128-2	84	0	0	0	1	1	0
MIR1283-1	87	0	0	0	0	0	0
MIR1283-2	87	0	0	0	0	1	0
MIR1284	120	0	0	0	0	0	0
MIR1-2	85	0	0	0	0	0	0
MIR1285-1	84	3	2	0	0	0	5
MIR1285-2	88	0	0	1	0	0	0
MIR1286	78	0	0	0	0	0	0
MIR1287	90	0	0	0	0	1	0
MIR1288	75	0	0	0	2	1	1
MIR1289-1	144	0	0	1	0	0	0
MIR1289-2	111	0	0	0	0	0	0
MIR1290	78	0	0	0	0	0	0
MIR129-1	72	0	0	0	0	0	0
MIR1291	87	0	0	0	0	0	0
MIR1292	66	0	0	0	0	0	0
MIR129-2	90	0	0	1	0	0	0
MIR1293	71	0	0	0	0	0	0
MIR1294	142	0	0	0	0	0	0
MIR1295A	79	0	0	0	0	0	0
MIR1295B	60	0	0	0	0	0	0
MIR1296	92	4	8	0	6	0	5
MIR1297	77	0	0	0	0	0	0
MIR1298	112	0	0	1	0	0	0
MIR1299	83	6	6	8	4	7	5
MIR1301	82	0	0	0	0	0	0
MIR1302-10	138	0	0	0	0	0	0
MIR1302-11	138	0	0	0	0	0	0
MIR1302-1	143	0	0	0	0	0	0
MIR1302-2	138	0	0	0	0	0	0
MIR1302-2HG	1021	0	0	0	0	0	0
MIR1302-3	138	0	0	0	0	1	0
MIR1302-4	150	1	0	0	0	0	0
MIR1302-5	150	0	0	0	0	0	0
MIR1302-6	90	0	0	0	0	0	0
MIR1302-7	72	0	0	0	0	0	0
MIR1302-8	128	0	0	2	1	0	1
MIR1302-9	138	0	0	0	0	0	0
MIR1303	86	3	0	0	1	0	1
MIR1304	91	0	0	0	0	0	0
MIR1305	86	0	0	0	0	0	0
MIR1306	85	0	0	0	0	0	0
MIR1307	149	0	0	0	0	0	0
MIR130A	89	0	0	0	0	1	0
MIR130B	1131	0	0	0	0	4	0
MIR132	101	0	0	0	0	0	0
MIR1321	79	0	0	0	0	0	0
MIR1322	71	0	0	0	0	0	0
MIR1323	73	0	0	2	0	3	0
MIR1324	96	0	0	0	0	0	0
MIR133A1	88	0	0	0	0	0	0
MIR133A1HG	4376	1013	902	573	626	350	651
MIR133A2	102	0	0	0	0	0	0
MIR133B	119	0	0	0	0	1	0
MIR1343	84	0	1	0	0	0	1
MIR134	73	0	0	0	0	0	0
MIR135A1	90	0	0	0	2	0	0
MIR135A2	100	0	0	0	0	0	0
MIR135B	97	0	0	0	0	0	0
MIR136	82	0	0	0	0	0	0
MIR137	102	0	0	0	0	0	0
MIR137HG	6006	6	19	62	12	62	1
MIR138-1	99	0	0	0	0	0	0
MIR138-2	84	0	0	0	0	0	0
MIR139	68	0	0	0	0	0	0
MIR140	100	0	0	0	0	0	0
MIR141	95	0	0	0	0	0	0
MIR142	87	0	0	0	0	0	0
MIR143	106	0	0	0	0	0	0
MIR144	86	0	0	0	0	0	0
MIR145	88	24	9	0	4	0	3
MIR1468	86	0	0	0	0	2	0
MIR1469	47	0	0	0	0	0	0
MIR146A	99	0	0	0	0	0	0
MIR146B	73	0	0	0	0	0	0
MIR1470	61	0	0	0	0	0	0
MIR1471	57	0	0	1	0	0	0
MIR147A	72	1	0	0	0	0	0
MIR147B	80	0	0	0	0	0	0
MIR148A	68	0	0	0	0	0	0
MIR148B	99	0	0	0	0	0	0
MIR149	89	0	0	0	0	0	0
MIR150	84	0	0	0	0	0	0
MIR151A	90	0	2	0	1	0	0
MIR151B	96	2	0	1	0	1	0
MIR152	87	0	0	0	0	0	0
MIR153-1	90	0	0	0	0	0	0
MIR153-2	87	0	0	0	0	0	0
MIR1537	61	0	0	0	0	0	0
MIR1538	61	0	0	0	0	0	0
MIR1539	50	0	0	0	0	0	0
MIR154	84	1	0	0	0	0	0
MIR155	65	0	0	0	0	0	0
MIR155HG	1600	0	0	1	0	5	0
MIR1587	53	0	0	0	0	0	0
MIR15A	83	0	0	0	0	0	0
MIR15B	98	0	0	1	0	0	0
MIR16-1	89	0	0	0	0	0	0
MIR16-2	81	0	0	0	0	0	0
MIR17	84	0	0	0	0	0	0
MIR17HG	3492	3	11	11	7	5	14
MIR181A1	110	0	0	0	0	0	0
MIR181A1HG	3250	34	43	60	28	42	11
MIR181A2	110	8	3	1	10	1	8
MIR181A2HG	662	145	134	18	48	24	65
MIR181B1	110	0	0	0	0	0	0
MIR181B2	89	2	2	0	0	1	4
MIR181C	110	0	0	0	1	0	0
MIR181D	137	0	0	2	0	0	0
MIR182	110	0	0	0	0	0	0
MIR1825	53	0	0	0	0	0	0
MIR1827	66	0	0	1	0	1	0
MIR183	110	0	0	0	0	0	0
MIR184	84	0	0	0	0	1	0
MIR185	82	0	0	0	0	0	0
MIR186	86	5	1	0	0	0	2
MIR187	109	0	0	0	0	0	0
MIR188	86	0	0	1	0	0	0
MIR18A	71	0	0	0	0	0	0
MIR18B	71	0	0	0	0	0	0
MIR1908	80	0	0	0	0	0	0
MIR1909	80	0	0	0	0	0	0
MIR190A	85	0	0	0	0	0	0
MIR190B	79	1	0	0	0	0	0
MIR1910	80	0	0	0	0	0	0
MIR1911	80	0	0	0	0	0	0
MIR1912	80	0	0	0	0	0	0
MIR1913	80	1	1	2	3	1	4
MIR1914	80	0	0	0	0	0	0
MIR1915	80	0	0	0	0	0	0
MIR191	92	0	0	0	0	0	0
MIR192	110	0	0	0	0	0	0
MIR193A	88	0	0	0	0	0	0
MIR193B	83	0	0	0	1	0	0
MIR193BHG	6049	108	95	55	255	41	190
MIR194-1	85	0	1	0	0	0	0
MIR194-2	85	0	0	0	0	0	0
MIR194-2HG	3647	3	0	7	2	6	0
MIR195	87	0	0	0	0	0	0
MIR196A1	70	0	0	0	0	0	0
MIR196A2	110	0	0	0	0	0	0
MIR196B	84	0	0	0	0	0	0
MIR1972-1	77	2	1	0	1	1	0
MIR1972-2	77	0	0	1	1	0	1
MIR1973	44	0	0	0	0	0	0
MIR1976	52	0	0	0	0	0	0
MIR197	75	0	0	0	0	0	0
MIR198	62	0	0	0	0	0	0
MIR199A1	71	0	0	0	0	0	0
MIR199A2	110	0	0	0	0	0	0
MIR199B	110	0	0	0	0	0	0
MIR19A	82	0	0	0	0	0	0
MIR19B1	87	0	0	0	0	0	0
MIR19B2	96	0	0	0	0	0	0
MIR200A	90	0	0	0	0	0	0
MIR200B	95	0	0	0	0	0	0
MIR200C	68	0	0	0	0	0	0
MIR200CHG	350	0	0	0	0	0	0
MIR202	110	0	0	0	0	0	0
MIR202HG	822	0	0	0	0	0	0
MIR203A	110	0	0	0	0	0	0
MIR203B	86	0	0	0	0	0	0
MIR204	110	0	0	2	0	3	0
MIR205	110	0	0	1	0	1	0
MIR2052	55	1	0	1	1	3	1
MIR2052HG	2906	4	4	16	8	20	2
MIR2053	91	0	0	0	0	0	0
MIR2054	49	0	0	0	0	0	0
MIR205HG	3518	0	5	25	0	20	0
MIR206	86	0	0	2	0	2	0
MIR208A	71	0	1	1	0	0	3
MIR208B	77	2	1	0	0	0	0
MIR20A	71	0	0	0	0	0	0
MIR20B	69	0	0	0	0	0	0
MIR210	110	0	0	0	0	0	0
MIR210HG	2321	9	6	3	11	5	8
MIR2110	75	0	0	0	0	0	0
MIR211	110	0	1	2	0	3	0
MIR2113	91	0	0	0	0	0	0
MIR2114	80	0	0	0	0	0	0
MIR2115	100	0	0	0	0	1	0
MIR2116	80	0	0	0	1	0	0
MIR2117	80	0	0	0	0	0	0
MIR2117HG	506	0	0	0	1	0	0
MIR212	110	0	0	0	0	0	0
MIR214	110	0	0	0	0	0	0
MIR215	110	0	0	0	0	0	0
MIR216A	110	0	0	1	0	0	0
MIR216B	82	0	0	0	0	0	0
MIR217	110	0	0	0	0	0	0
MIR21	72	0	0	0	0	0	0
MIR217HG	900	2	3	24	9	16	0
MIR218-1	110	0	3	0	1	0	0
MIR218-2	110	0	0	0	0	2	0
MIR219A1	110	0	0	0	0	0	0
MIR219A2	1504	0	0	1	1	1	0
MIR219B	88	0	0	0	0	0	0
MIR221	110	0	1	3	0	1	1
MIR222	110	0	0	0	1	1	0
MIR222HG	2785	6	8	22	9	16	4
MIR223	110	0	0	0	0	0	0
MIR224	81	0	0	0	0	0	0
MIR2276	89	0	1	0	0	1	0
MIR2277	93	0	0	0	0	0	0
MIR2278	96	0	0	0	1	0	0
MIR22	85	0	0	0	0	0	0
MIR22HG	2986	488	389	86	338	59	295
MIR2355	87	0	0	0	1	0	0
MIR2392	84	0	0	0	0	0	0
MIR23A	73	0	0	0	0	0	0
MIR23B	97	15	8	0	13	3	15
MIR23C	100	0	0	0	0	0	0
MIR24-1	68	0	0	0	0	0	0
MIR24-2	73	0	0	0	0	0	0
MIR2467	81	0	0	0	0	0	0
MIR25	84	0	0	0	0	0	0
MIR2681	105	0	0	0	0	0	0
MIR2682	110	0	0	0	0	0	0
MIR26A1	77	0	0	0	0	0	0
MIR26A2	84	0	1	0	0	0	0
MIR26B	77	0	0	0	0	0	0
MIR27A	78	1	0	0	0	0	0
MIR27B	97	12	8	2	9	2	5
MIR2861	90	0	0	0	0	0	0
MIR28	86	1	1	0	2	1	5
MIR2909	69	2	0	1	1	1	1
MIR296	80	0	0	0	0	0	0
MIR297	66	0	0	0	0	0	0
MIR298	88	0	0	0	0	0	0
MIR299	63	0	0	0	0	0	0
MIR29A	64	0	0	0	0	0	0
MIR29B1	81	0	0	0	0	0	0
MIR29B2	81	0	0	0	0	0	0
MIR29C	88	0	0	0	0	0	0
MIR300	83	0	0	0	0	0	0
MIR301A	86	0	0	0	0	0	0
MIR301B	78	0	0	0	0	0	0
MIR302A	69	1	0	0	1	0	0
MIR302B	73	0	0	0	0	0	0
MIR302C	68	0	0	0	0	2	0
MIR302D	68	1	2	0	2	0	0
MIR302E	72	1	0	0	0	0	0
MIR302F	51	0	0	0	0	0	0
MIR3064	66	0	0	0	0	0	0
MIR3065	79	0	0	0	0	0	0
MIR3074	81	0	0	0	0	0	0
MIR30A	71	0	0	0	0	0	0
MIR30B	88	0	1	0	0	0	0
MIR30C1	89	3	5	1	1	1	8
MIR30C2	72	8	6	4	12	3	14
MIR30D	70	1	0	0	0	0	1
MIR30E	92	12	6	4	21	6	20
MIR3115	68	0	2	0	0	0	0
MIR3116-1	74	0	0	0	0	0	0
MIR3116-2	68	0	0	0	0	0	0
MIR3117	78	3	0	0	0	0	0
MIR3118-1	76	0	0	0	0	0	0
MIR3118-2	75	0	0	0	0	0	0
MIR3118-3	75	0	0	0	0	0	0
MIR3118-4	75	0	0	0	0	0	0
MIR3119-2	85	0	0	0	0	0	0
MIR3120	81	0	0	0	0	0	0
MIR3121	77	0	0	0	0	0	0
MIR3122	73	0	0	0	0	0	0
MIR3123	75	0	0	0	0	0	0
MIR3124	67	0	0	0	0	0	0
MIR3125	78	1	1	1	0	1	3
MIR3126	74	0	0	0	0	2	0
MIR3127	76	2	3	1	1	0	0
MIR3128	66	0	2	1	0	0	0
MIR3129	76	0	0	0	0	0	0
MIR3130-1	75	0	0	0	0	0	0
MIR3131	63	0	0	0	0	0	0
MIR3132	75	1	0	0	0	0	0
MIR3133	78	0	0	0	0	0	0
MIR3134	74	1	4	1	1	1	0
MIR3135A	77	4	3	1	10	1	7
MIR3135B	68	1	0	1	0	0	0
MIR3136	78	0	0	0	0	1	0
MIR3137	75	0	0	0	1	0	0
MIR3138	82	0	0	0	0	0	0
MIR3139	76	0	0	0	0	0	0
MIR3140	90	1	0	0	0	0	0
MIR3141	61	0	0	0	0	1	0
MIR3142	82	0	0	0	0	0	0
MIR3142HG	2301	0	0	9	6	6	0
MIR3143	63	0	0	0	0	1	0
MIR3144	79	0	0	0	0	0	0
MIR3145	82	0	3	1	4	2	3
MIR3146	79	0	0	0	0	0	0
MIR3147	66	1	1	1	0	1	0
MIR3148	77	0	0	0	0	0	0
MIR3149	83	0	2	0	1	1	0
MIR3150A	80	0	0	0	0	0	0
MIR3150B	86	0	0	0	0	0	0
MIR3151	76	0	0	0	0	0	0
MIR3152	74	0	0	0	0	0	0
MIR3153	82	0	0	0	0	0	0
MIR3154	84	0	0	0	0	0	0
MIR3155A	82	0	0	0	0	0	0
MIR3155B	56	0	0	0	0	0	0
MIR3156-1	75	0	0	0	0	0	0
MIR3156-2	77	0	0	0	0	0	0
MIR3156-3	77	0	0	0	0	0	0
MIR3157	85	0	0	0	0	0	0
MIR3158-1	81	0	0	0	0	0	0
MIR3159	74	0	0	0	0	1	0
MIR3160-1	85	0	0	0	0	0	0
MIR3160-2	81	0	0	0	0	0	0
MIR3161	77	5	5	1	6	2	1
MIR3162	82	2	2	0	2	0	2
MIR3163	73	0	1	0	0	0	0
MIR3164	83	0	0	0	0	0	0
MIR3165	75	0	0	0	0	0	0
MIR3166	92	0	0	0	0	0	0
MIR3167	85	0	0	0	0	0	0
MIR3168	82	0	1	0	0	0	0
MIR3169	83	0	0	0	0	1	0
MIR3170	77	0	0	0	0	0	0
MIR31	71	0	0	2	0	0	0
MIR3171	74	0	0	0	0	0	0
MIR3173	68	0	0	0	1	1	2
MIR3174	87	0	0	0	0	0	0
MIR3175	77	0	0	0	1	0	1
MIR3176	90	0	0	0	0	0	0
MIR3177	82	0	0	0	0	0	1
MIR3178	84	0	0	0	2	0	0
MIR3179-1	84	0	0	0	0	0	0
MIR3179-2	84	0	0	0	0	0	0
MIR3179-3	84	0	0	0	0	0	0
MIR3179-4	84	0	0	0	0	0	0
MIR3180-1	94	0	0	0	0	0	0
MIR3180-2	88	0	0	0	0	0	0
MIR3180-3	94	0	0	0	0	0	0
MIR3180-4	153	0	0	0	0	0	0
MIR3180-5	153	0	0	0	0	0	0
MIR3181	73	0	0	0	0	0	0
MIR3182	63	0	5	1	4	1	8
MIR3183	84	0	0	0	0	1	0
MIR3184	75	0	0	0	0	0	0
MIR3185	68	0	0	0	0	0	0
MIR3186	85	0	0	0	0	0	0
MIR3187	70	0	0	0	0	0	0
MIR3188	85	0	0	0	0	0	0
MIR3189	73	0	0	0	0	0	0
MIR3190	80	0	0	0	0	0	0
MIR3191	76	0	0	0	0	0	0
MIR3192	77	6	2	0	1	0	3
MIR3193	55	0	0	0	0	0	0
MIR3194	73	0	0	1	0	1	0
MIR3195	84	0	0	0	0	0	0
MIR3196	64	0	0	0	0	0	0
MIR3197	73	0	0	0	1	0	0
MIR3198-1	80	0	0	0	0	2	1
MIR3198-2	80	0	0	0	0	0	0
MIR3199-1	88	0	0	0	0	0	0
MIR3199-2	86	0	0	0	0	0	0
MIR31HG	745	0	0	7	0	8	0
MIR3200	85	1	0	0	1	1	0
MIR3201	52	0	0	0	0	0	0
MIR3202-1	81	0	0	0	0	0	0
MIR3202-2	79	0	0	0	0	0	0
MIR320A	82	0	0	0	0	0	0
MIR320B1	79	0	0	0	0	0	0
MIR320B2	138	0	0	1	0	0	0
MIR320C1	88	0	0	0	0	0	0
MIR320C2	50	0	0	0	0	0	0
MIR320D1	48	4	2	2	5	2	0
MIR320D2	48	0	0	2	0	1	0
MIR320E	53	0	0	0	0	0	0
MIR323A	86	0	0	0	0	0	0
MIR323B	82	0	0	0	0	0	1
MIR324	83	19	22	0	13	0	11
MIR325	98	0	0	0	0	0	0
MIR325HG	1826	19	16	44	5	33	3
MIR326	95	0	0	1	0	1	0
MIR32	70	0	0	0	0	0	1
MIR328	75	0	0	0	0	1	0
MIR329-1	80	0	0	0	0	0	0
MIR329-2	84	0	0	0	0	0	1
MIR330	94	0	0	0	0	0	0
MIR331	94	2	3	0	2	0	0
MIR335	94	0	0	0	0	0	0
MIR337	93	0	0	0	0	0	0
MIR338	67	0	0	0	0	0	0
MIR339	94	0	0	0	0	0	0
MIR33A	69	0	0	0	0	0	0
MIR33B	96	0	0	0	0	0	0
MIR340	95	0	0	0	0	1	0
MIR342	99	1	0	0	0	0	0
MIR345	98	0	0	0	0	0	0
MIR346	95	0	0	1	0	1	0
MIR34A	110	0	0	0	0	0	0
MIR34AHG	4571	14	5	12	22	16	18
MIR34B	84	0	0	0	0	0	0
MIR34C	77	0	0	0	1	0	0
MIR3529	78	0	0	0	0	0	0
MIR3591	73	0	0	0	0	0	0
MIR3605	100	4	5	1	4	0	2
MIR3606	63	0	0	0	0	0	0
MIR3609	80	0	1	0	1	1	1
MIR3610	73	0	0	0	0	0	0
MIR3611	83	0	0	0	1	0	0
MIR3612	87	0	2	2	0	0	0
MIR3613	87	1	0	0	2	0	1
MIR3614	86	0	0	0	0	0	0
MIR3615	87	0	0	0	0	0	0
MIR3616	92	0	0	0	0	0	0
MIR361	72	1	1	1	0	0	1
MIR3617	79	0	0	0	1	1	0
MIR3618	88	0	0	0	0	0	0
MIR3619	83	0	0	0	1	0	0
MIR3620	79	0	0	0	0	0	0
MIR3621	85	0	0	0	0	0	0
MIR3622A	83	0	0	0	0	0	0
MIR3622B	95	0	0	0	0	0	0
MIR362	65	0	0	0	0	0	0
MIR363	75	0	0	0	0	0	0
MIR3646	84	0	0	0	0	0	0
MIR3648-1	180	0	0	0	0	0	0
MIR3648-2	180	0	0	0	0	0	0
MIR3649	66	1	0	0	0	0	2
MIR3650	60	0	0	0	0	0	0
MIR3651	90	0	0	0	0	0	0
MIR3652	131	0	0	0	0	0	0
MIR3653	110	0	0	0	0	0	0
MIR3654	56	0	0	0	0	0	0
MIR3655	83	0	0	0	0	0	0
MIR3656	69	0	0	0	0	0	0
MIR3657	117	0	0	0	0	0	0
MIR3658	56	0	0	0	0	0	0
MIR3659	99	0	0	0	0	0	0
MIR365A	87	1	1	0	3	1	1
MIR365B	111	0	2	0	1	0	0
MIR3660	100	0	0	0	0	0	0
MIR3661	96	0	0	0	0	0	0
MIR3662	95	0	1	0	0	0	1
MIR3663	97	0	0	0	0	0	0
MIR3663HG	2385	0	1	10	0	9	0
MIR3664	99	0	0	0	0	0	0
MIR3665	105	0	0	0	0	0	0
MIR3666	111	0	1	0	1	2	1
MIR3667	74	0	0	1	0	0	0
MIR3668	75	0	0	0	0	0	0
MIR3670-1	65	0	0	0	0	0	0
MIR3670-2	65	0	0	0	0	0	0
MIR3670-3	65	0	0	0	0	0	0
MIR3670-4	65	0	0	0	0	0	0
MIR3671	88	10	3	3	9	2	11
MIR3672	82	0	0	0	0	0	0
MIR3674	68	0	0	0	0	0	0
MIR3675	73	0	0	0	0	1	0
MIR367	68	3	2	1	1	0	0
MIR3677	60	0	0	0	0	0	0
MIR3678	94	0	0	0	0	0	0
MIR3679	68	21	14	10	34	9	32
MIR3680-1	87	0	0	0	0	1	0
MIR3680-2	87	0	0	0	0	0	0
MIR3681	72	0	0	0	0	0	0
MIR3681HG	3876	1	3	21	8	16	0
MIR3682	84	0	0	0	0	0	0
MIR3683	82	0	0	0	0	0	0
MIR3684	74	0	0	0	0	0	0
MIR3685	62	0	0	0	0	1	0
MIR3686	86	0	0	2	0	0	0
MIR3687-1	61	0	0	0	0	0	0
MIR3687-2	61	0	0	0	0	0	0
MIR3688-1	93	0	0	0	0	0	0
MIR3688-2	87	0	0	0	0	0	0
MIR3689A	78	0	0	0	0	0	0
MIR3689B	148	0	1	0	0	0	0
MIR3689C	72	0	0	0	0	0	0
MIR3689D1	74	0	0	0	0	0	0
MIR3689D2	80	0	0	0	0	0	0
MIR3689E	72	0	0	0	0	0	0
MIR3689F	66	0	0	0	0	0	0
MIR3690	150	0	0	0	0	0	0
MIR3691	90	0	0	0	0	0	0
MIR3692	69	2	2	0	0	0	0
MIR369	70	0	0	0	0	0	0
MIR370	75	0	0	0	0	1	0
MIR3713	45	0	0	0	0	0	0
